Genres,revenue,Year
Action,143049560,2001
Action,91753202,2001
Comedy,173921954,2001
Comedy,66468332,2001
Comedy,71441250,2001
Comedy,31155435,2001
Action,80936232,2001
Action,172989651,2001
Action,75395048,2002
Comedy,4,2001
Comedy,6413915,2002
Comedy,52970014,2002
Action,78382433,2002
Action,16671505,1994
Action,61141030,2002
Comedy,18492362,2001
Action,2106838,2002
Action,114660784,2002
Action,25482931,2002
Comedy,2506446,2002
Action,77741732,2002
Comedy,10013424,2001
Comedy,344,1998
Comedy,46352,2001
Comedy,38275483,2002
Action,94935764,2002
Comedy,368744044,2002
Action,165333180,2002
Comedy,16872671,2002
Action,41604473,2002
Action,65977295,2002
Action,214034224,2002
Action,358372926,2002
Comedy,171269535,2002
Comedy,4186931,2001
Action,441818803,2002
Comedy,296655431,2002
Comedy,2891288,2002
Action,119723358,2002
Action,277448382,2002
Comedy,19184015,2002
Action,7103973,2002
Comedy,16930185,2002
Comedy,19576023,2002
Action,12398628,2002
Comedy,75781642,2002
Action,43928932,2002
Comedy,4777465,2002
Comedy,16453258,1994
Action,19924033,2002
Action,6916869,2002
Comedy,9304609,2002
Comedy,180622424,2002
Action,249204,2002
Action,773228,2002
Comedy,27362712,2002
Comedy,2744253,2002
Comedy,17000000,2002
Comedy,598645,2002
Comedy,100477,2002
Action,3090862,2002
Action,23000,2001
Comedy,1260761,2002
Action,33561137,2002
Comedy,4245870,2002
Comedy,33526835,2002
Comedy,23833131,2002
Action,10959475,2002
Comedy,55003135,2002
Action,18591272,2002
Comedy,32801173,2002
Action,5359645,2002
Comedy,35081550,2002
Comedy,154906693,2002
Comedy,93354918,2002
Action,12633747,2002
Comedy,41323171,2002
Action,306776732,2002
Comedy,33013805,2002
Comedy,604856,2003
Comedy,101564935,2003
Comedy,17432163,2003
Action,50097949,2003
Comedy,11690,1997
Action,23510601,2003
Action,101191884,2003
Comedy,177371441,2003
Action,88323487,2003
Action,9237470,2002
Comedy,87055349,2003
Action,56489558,2003
Comedy,132675402,2003
Action,85632458,2003
Comedy,76578641,2002
Comedy,8586376,2002
Comedy,15614000,2003
Action,42792561,2003
Action,74208267,2003
Action,44350926,2003
Comedy,195745823,2003
Comedy,6126237,2003
Comedy,18750246,2003
Action,4720371,2001
Comedy,164433867,2003
Action,20298207,2003
Action,20867919,2002
Action,20440627,2003
Action,176070171,2003
Action,236350661,2003
Comedy,39267515,2003
Comedy,4922166,2003
Action,51142659,2003
Comedy,15368897,2003
Action,259175788,2003
Comedy,124914842,2003
Action,435000000,2003
Action,156505388,2003
Action,197011982,2003
Comedy,1628154,2003
Comedy,231449203,2003
Comedy,110230332,2003
Action,116643346,2003
Comedy,12991996,2003
Action,42776760,2001
Comedy,37095657,2003
Comedy,6003587,2003
Action,58795814,2003
Comedy,1675706,2003
Comedy,10550,2003
Comedy,742898,2003
Comedy,65565672,2003
Action,98185582,2003
Comedy,30238577,2003
Action,19322135,2003
Comedy,3031801,2003
Action,8826094,2001
Comedy,4350774,1994
Comedy,131282949,2003
Action,180949000,2003
Comedy,22278,2003
Comedy,220673217,2003
Comedy,616938,1994
Comedy,320092,2003
Comedy,173398518,2003
Comedy,244931766,2003
Comedy,3432342,2003
Action,43935763,2003
Action,1422749,1994
Action,5777916,1994
Comedy,33828318,2003
Comedy,96542059,2003
Comedy,190212113,2003
Action,96269812,2003
Comedy,12,2004
Comedy,51,2004
Comedy,171963386,2004
Action,46546197,2004
Action,1238080,1994
Comedy,16980098,2004
Comedy,6808550,2004
Comedy,65070412,2004
Comedy,161410,1994
Comedy,196482882,2004
Comedy,14000000,2004
Comedy,29331068,2004
Comedy,20796847,2004
Comedy,5001655,2004
Action,25195000,2004
Comedy,79384880,2003
Comedy,170268750,2004
Comedy,28818995,2004
Comedy,30411183,2004
Comedy,7411659,1994
Action,65470529,2004
Comedy,36098382,2004
Action,5923000,2004
Action,6585516,2003
Comedy,31179516,2004
Comedy,26155781,2004
Action,152159461,2004
Action,54700105,2004
Comedy,96455697,2004
Action,130293714,2004
Action,30016165,2004
Comedy,129042871,2004
Comedy,7897645,2003
Action,6416302,2002
Action,49000000,1994
Comedy,570000,1998
Comedy,1614266,1996
Action,544272402,2004
Action,115772733,2004
Action,102000000,2004
Comedy,46118097,2004
Comedy,126247,1994
Action,72178895,2004
Comedy,167722310,2004
Comedy,219417255,2004
Comedy,113086475,2004
Action,8,2003
Action,268254,1998
Action,65497208,2003
Action,389503,1995
Action,4275,2000
Action,783766341,2004
Comedy,90574188,2004
Comedy,70067909,2004
Action,347234916,2004
Action,288500217,2004
Action,82102379,2004
Action,28283637,2004
Comedy,26781723,2004
Comedy,22034832,2004
Comedy,23936908,2004
Comedy,95149435,2004
Action,69631118,2004
Comedy,12,2004
Action,16605763,2004
Comedy,1221832,1994
Action,371396,2004
Comedy,9109322,2004
Action,56422687,2004
Comedy,21800302,2004
Comedy,41512007,2004
Comedy,1914166,2004
Comedy,776691,2004
Comedy,14793624,2004
Comedy,13395939,2004
Comedy,109502303,2004
Action,631442092,2004
Action,61347797,2004
Comedy,40203020,2004
Action,1907743,1994
Comedy,30626182,1994
Action,1531251,1999
Action,60726164,2000
Action,3849941,2001
Comedy,17350,2003
Action,1954937,2002
Comedy,13200241,2003
Action,7338987,2002
Action,460978,2003
Comedy,6584159,2005
Action,15,2003
Comedy,55041367,2004
Action,21009180,2004
Action,1600000,2003
Comedy,365134,2004
Action,15,2004
Comedy,5331377,2004
Comedy,516642939,2004
Action,31651,2003
Action,56681566,2005
Comedy,93772522,2005
Comedy,1819410,2003
Comedy,8009329,1994
Action,10442808,2005
Comedy,47175038,2005
Action,2341309,1994
Comedy,41,2005
Comedy,368100420,2005
Comedy,32645546,2005
Action,100914445,2004
Action,113006880,2005
Comedy,95226116,2005
Comedy,48000,2003
Comedy,20085825,2004
Comedy,68915888,2005
Comedy,13145977,1994
Action,158733820,2005
Comedy,36351350,2005
Action,119269486,2005
Comedy,50451307,2005
Comedy,527000,2003
Action,1691706,2005
Comedy,402805,1999
Comedy,42886719,2005
Action,71073932,2005
Action,50871113,2005
Comedy,190320568,2005
Action,11838218,1997
Action,478207520,2005
Action,374218673,2005
Comedy,66002004,2005
Comedy,131426169,2005
Comedy,16809014,2005
Action,330579719,2005
Comedy,285176741,2005
Comedy,23727301,2005
Action,162949164,2005
Comedy,34252847,2005
Action,76932943,2005
Comedy,45742101,2005
Action,143000,2005
Action,110803676,2005
Comedy,22400154,2005
Action,92374674,2005
Action,10166502,2005
Comedy,109449237,2005
Comedy,100000000,1995
Action,3102550,2005
Action,15007991,2005
Comedy,1046166,2005
Action,85167639,2005
Comedy,102854431,2005
Comedy,2697930,2005
Comedy,1919197,2005
Action,22944502,2005
Comedy,18637690,2005
Action,52304001,2005
Action,12382362,2005
Action,44434439,2005
